iter	Passed	Remaining
0	202	101011
1	253	63142
2	299	49678
3	346	42970
4	394	39068
5	440	36275
6	483	34079
7	529	32557
8	572	31215
9	612	30010
10	652	29007
11	692	28171
12	733	27465
13	775	26931
14	815	26371
15	857	25925
16	897	25495
17	937	25108
18	979	24787
19	1019	24464
20	1060	24194
21	1103	23966
22	1147	23808
23	1190	23613
24	1232	23424
25	1273	23211
26	1316	23062
27	1355	22856
28	1397	22702
29	1437	22518
30	1452	21970
31	1492	21825
32	1534	21719
33	1569	21517
34	1622	21551
35	1673	21568
36	1728	21626
37	1787	21735
38	1839	21740
39	1890	21736
40	1938	21700
41	1997	21777
42	2056	21853
43	2110	21876
44	2160	21842
45	2215	21862
46	2266	21841
47	2322	21870
48	2382	21929
49	2435	21917
50	2489	21915
51	2545	21929
52	2598	21914
53	2648	21870
54	2693	21795
55	2744	21758
56	2790	21684
57	2842	21660
58	2890	21606
59	2934	21517
60	2979	21442
61	3021	21342
62	3066	21272
63	3110	21186
64	3156	21121
65	3197	21025
66	3241	20949
67	3288	20892
68	3331	20812
69	3373	20724
70	3415	20634
71	3455	20543
72	3500	20474
73	3543	20398
74	3585	20317
75	3627	20237
76	3671	20170
77	3715	20102
78	3760	20037
79	3803	19967
80	3849	19911
81	3893	19847
82	3935	19770
83	3977	19698
84	4019	19623
85	4062	19559
86	4105	19491
87	4146	19414
88	4191	19354
89	4233	19285
90	4273	19208
91	4314	19134
92	4355	19061
93	4397	18994
94	4437	18916
95	4476	18839
96	4516	18766
97	4559	18702
98	4602	18642
99	4645	18582
100	4684	18506
101	4723	18430
102	4764	18364
103	4808	18309
104	4855	18266
105	4901	18219
106	4946	18166
107	4992	18122
108	5038	18073
109	5086	18032
110	5128	17973
111	5176	17931
112	5219	17874
113	5266	17831
114	5313	17787
115	5361	17747
116	5404	17690
117	5445	17627
118	5485	17563
119	5526	17499
120	5566	17435
121	5607	17373
122	5651	17322
123	5692	17262
124	5733	17200
125	5776	17145
126	5820	17094
